Train_labels,Train_pred
52.29316343700641,54.62187194824219
29.597370987654944,29.54754066467285
30.307455811197805,29.75212287902832
52.62045783818522,52.950836181640625
55.47248314213854,55.34484100341797
55.381918305332746,55.38899230957031
62.2375390460639,63.282859802246094
46.24237561245848,46.188289642333984
31.521901985748023,30.91799545288086
51.19942899055584,51.24201965332031
58.557636096057806,57.71539306640625
58.43236953306946,56.8292236328125
66.08124642628077,65.52156066894531
33.39749401125001,31.968313217163086
59.516180147288495,59.302581787109375
53.54625536410524,54.955535888671875
38.1868,38.200721740722656
31.86072358479874,30.916213989257812
29.77941142177356,29.753585815429688
37.45447671661015,37.20615768432617
40.86468089940082,39.59262466430664
52.269730384787145,53.60419845581055
36.08308517049488,34.38694763183594
61.692091324964906,59.701576232910156
35.216390565100035,34.70823287963867
53.13233680957019,52.65687561035156
45.65837903277897,46.916046142578125
29.602880895295556,28.90772819519043
40.73201680966613,39.4984130859375
49.33903009721319,48.45465850830078
38.2856665339278,38.09006118774414
33.56177981015042,34.14079284667969
54.544773239063375,54.02051544189453
37.64478546000001,37.02526092529297
38.93350857167157,37.29674530029297
50.890750433425126,50.805694580078125
38.1868,38.24387741088867
60.0537064462218,60.30391311645508
60.37074128129575,61.645118713378906
66.39392310126577,65.21347045898438
39.09449520770684,39.79832458496094
37.425392860507166,37.84733200073242
65.58300404154103,64.91019439697266
32.96167992532837,32.422035217285156
67.72865630503705,67.25898742675781
64.8472233372461,62.918975830078125
54.762974012228675,56.08030700683594
55.303660418935095,55.74256896972656
55.96497625297117,56.23656463623047
38.1868,38.29350280761719
50.68713054316913,50.54739761352539
68.98463367032463,67.60205078125
37.80193447639488,38.34071731567383
46.11698457718608,45.913265228271484
48.71877011757221,47.69583511352539
30.85809078813713,29.951942443847656
57.97463634474626,58.01728820800781
65.90642676999414,66.13011932373047
42.45661010729099,42.28550338745117
46.87807920498703,47.234867095947266
51.60289834743197,50.96135711669922
68.86840805749952,68.51702117919922
35.44414015688404,39.26226806640625
58.86194019014196,59.364112854003906
62.017273302284096,62.70262908935547
45.866152114238965,43.148216247558594
34.52644774570294,33.119659423828125
